Coordinates,County,State,Latitude,Longitude,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,ZIP,Population (2020 census),Area (mi^2),Density (Population/mi^2),"Total Population Change, Annual Change, July 1, 2021 to July 1, 2022","Total Population Change, Cumulative Change, April 1, 2020 to July 1, 2022",Population Change Percent 2021-2022,"Assault crimes per 1,000","Robbery crimes per 1,000","Rape crimes per 1,000","Murder crimes per 1,000","Theft crimes per 1,000","Vehicle_Theft crimes per 1,000","Burglary crimes per 1,000","Arson crimes per 1,000","Kidnapping crimes per 1,000","Drug_Crimes crimes per 1,000","Vandalism crimes per 1,000","Identity_Theft crimes per 1,000","Animal_Cruelty crimes per 1,000","Total_Violent_Crime_Value crimes per 1,000",Total_Violent_Crime_Grade,"Total_Property_Crime_Value crimes per 1,000",Total_Property_Crime_Grade,Total_Other_Rate_Value,Total_Other_Rate_Grade,Median Home Price Q1 2023,Monthly Payment Q1 2023,Monthly Payment Q1 2022,Percent Change in Monthly Payment,Average_S8_Rent,S8 rent - Mortgage Payment,Landlord Friendly,Investment_Score,Investment Rank,S8 rent - Mortgage Payment_log_transformed,"Total_Violent_Crime_Value crimes per 1,000_log_transformed",Population (2020 census)_log_transformed
"31.1261225461, -87.1616198682",Escambia County,AL,31.12612255,-87.16161987,560,606,740,946,1164,36420,36757,945.08,38.893,8,-101,0.022,3.593,0.7509,0.4117,0.0601,13.96,0.4949,9.333,0.0673,0.2251,3.952,8.633,0.7742,0.0036,4.815,B-,23.86,C+,13.59,C+,143337,804,515,56.117,803.2,-0.8,Landlord Friendly,8.78233664,345,8.637355616,1.850185598,10.51929462
"33.7212061505, -87.7388619701",Fayette County,AL,33.72120615,-87.73886197,560,655,740,924,1109,35574,16321,627.66,26.003,-37,-208,-0.227,4.853,0.9881,0.4143,0.0977,27.62,0.4916,8.497,0.0944,1.232,3.246,15.56,0.7774,0.0066,6.353,C-,36.7,D,20.82,D,130355,732,472,55.085,797.6,65.6,Landlord Friendly,8.817678303,289,8.649063205,2.066736169,9.716374535
"34.4416706415, -87.8438119782",Franklin County,AL,34.44167064,-87.84381198,560,655,740,901,1251,35616,32113,633.82,50.666,-64,-181,-0.199,4.218,1.071,0.4116,0.0566,9.222,0.7527,8.25,0.0305,0.2459,1.725,8.021,0.9152,0.0053,5.757,C,18.26,B,10.91,B,142013,797,526,51.521,821.4,24.4,Landlord Friendly,8.786857921,341,8.641815011,1.988285223,10.38526534
"31.095016693, -85.8389848955",Geneva County,AL,31.09501669,-85.8389849,619,622,761,1015,1156,36344,26659,574.41,46.411,116,123,0.435,3.643,0.9921,0.3934,0.0579,27.47,0.6838,7.894,0.0689,0.1712,2.329,8.267,0.7438,0.0043,5.086,B-,36.11,D+,11.52,B,145835,818,539,51.763,834.6,16.6,Landlord Friendly,8.815150275,294,8.640436846,1.891906418,10.2008105
"32.8531388427, -87.9522309156",Greene County,AL,32.85313884,-87.95223092,623,627,794,966,1067,35462,7730,647.11,11.945,-170,-312,-2.199,5.728,0.7187,0.4541,0.1394,24.59,1.712,10.62,0.0889,1.019,10.35,9.199,0.9269,0.215,7.04,D+,37.01,D,21.71,D,97514,547,378,44.709,815.4,268.4,Landlord Friendly,8.88403561,196,8.683994937,2.15013297,8.986696696
"32.7626642246, -87.6291176816",Hale County,AL,32.76266422,-87.62911768,816,822,1018,1277,1368,35441,14785,643.94,22.96,-142,-191,-0.96,5.877,0.9055,0.4268,0.0753,12.4,0.5354,9.49,0.0451,0.2328,4.793,20.93,0.9315,0.2056,7.285,D,22.48,C+,27.09,D-,108929,611,454,34.581,1060.2,449.2,Landlord Friendly,9.085612214,32,8.7141406,2.178268258,9.619199713
"31.5146944202, -85.2414063367",Henry County,AL,31.51469442,-85.24140634,558,562,740,985,1001,36303,17146,561.75,30.522,221,507,1.289,4.191,0.7452,0.4151,0.065,37.14,0.6108,7.725,0.0581,0.2029,4.365,8.131,0.819,0.0955,5.416,C+,45.54,D,13.61,C+,155321,872,591,47.547,769.2,-102.8,Landlord Friendly,8.757924661,381,8.619099749,1.940466789,9.764914903
"31.1531879718, -85.3025273835",Houston County,AL,31.15318797,-85.30252738,619,622,761,1015,1156,36305,107202,579.82,184.888,626,875,0.584,2.36,0.8394,0.3767,0.0549,12.51,0.2825,3.208,0.0541,0.1149,1.384,3.768,0.7602,0.0013,3.631,A,16.05,A-,6.028,A,196681,1104,705,56.596,834.6,-269.4,Landlord Friendly,8.597976067,544,8.588545943,1.644225738,11.58494841
"34.7794159964, -85.9993005443",Jackson County,AL,34.779416,-85.99930054,560,624,740,901,1247,35772,52579,1077.87,48.78,197,309,0.375,5.794,0.8162,0.4122,0.0532,19.97,0.6596,9.202,0.0823,0.4307,4.307,19.58,0.8935,0.0042,7.076,D+,29.91,D+,25.22,D-,151286,849,551,54.083,814.4,-34.6,Landlord Friendly,8.761146792,375,8.631342968,2.154317076,10.87511838
"33.5543385118, -86.8963982424",Jefferson County,AL,33.55433851,-86.89639824,866,942,1075,1376,1494,35212,674721,1111.28,607.157,-4588,-8946,-0.68,7.18,1.985,0.4909,0.099,40.78,0.6428,12.06,0.1496,0.2954,3.633,10.4,0.7658,0.1734,9.754,F,53.63,D-,15.27,C,246231,1382,917,50.709,1150.6,-231.4,Landlord Friendly,8.598499479,542,8.595597635,2.424802726,13.42244871
"33.7792058021, -88.0968988585",Lamar County,AL,33.7792058,-88.09689886,560,613,740,1011,1109,35586,13972,604.85,23.1,-35,-271,-0.251,4.981,0.7676,0.409,0.0569,39.09,0.9853,10.98,0.0711,0.9118,1.154,21.69,0.9008,0.0054,6.214,C-,51.13,D-,24.66,D-,135256,759,487,55.852,806.6,47.6,Landlord Friendly,8.799336747,319,8.645902979,2.048982334,9.563669726
"34.901372384, -87.6539980067",Lauderdale County,AL,34.90137238,-87.65399801,574,617,811,1000,1249,35677,93564,667.7,140.129,1016,2313,1.086,4.061,1.05,0.4095,0.0529,5.124,0.4204,7.261,0.0405,0.4898,1.767,13.1,0.7488,0.0097,5.573,C+,12.85,A,16.11,C,252342,1416,698,102.865,850.2,-565.8,Landlord Friendly,8.342061233,816,8.531766483,1.962767266,11.44923991
"34.5216520166, -87.311044513",Lawrence County,AL,34.52165202,-87.31104451,623,651,795,1038,1151,35650,33073,690.68,47.885,91,137,0.275,4.364,0.8863,0.3997,0.0514,9.655,3.558,7.269,0.0493,0.1973,3.607,12.8,0.7448,0.0032,5.702,C,20.53,B-,17.35,C-,166441,934,629,48.49,851.6,-82.4,Landlord Friendly,8.713633672,423,8.622777682,1.980725569,10.41448316
"34.8100783219, -86.9813747654",Limestone County,AL,34.81007832,-86.98137477,737,872,1029,1354,1612,35611,103570,559.94,184.966,3519,7337,3.398,5.121,0.8126,0.4013,0.0533,14.4,0.5402,8.096,0.0538,0.3155,1.945,10.45,0.8127,0.0179,6.389,C-,23.09,C+,13.54,C+,303944,1706,1000,70.6,1120.8,-585.2,Landlord Friendly,8.42093464,730,8.527935288,2.071283354,11.55056801
"32.1547500095, -86.6501076967",Lowndes County,AL,32.15475001,-86.6501077,716,817,977,1241,1595,36047,10311,715.91,14.403,-149,-533,-1.445,6.079,0.982,0.4431,0.0899,19.52,1.23,9.92,0.0858,0.3742,1.346,15.8,1.033,0.0832,7.594,D,30.76,D+,18.64,D+,98177,551,336,63.988,1069.2,518.2,Landlord Friendly,9.117064216,24,8.72540989,2.212660385,9.266437111
"32.3859736952, -85.6926686622",Macon County,AL,32.3859737,-85.69266866,584,586,772,977,1315,36830,19532,608.89,32.078,-390,-1018,-1.997,3.272,0.8772,0.3963,0.0595,10.05,0.6007,4.681,0.1112,0.1686,6.054,7.399,0.7828,0.0431,4.605,B,15.44,A-,14.45,C+,111676,627,421,48.931,846.8,219.8,Landlord Friendly,8.863765098,226,8.67573422,1.81661467,9.893336201
"34.7630897031, -86.5502065185",Madison County,AL,34.7630897,-86.55020652,737,872,1029,1354,1612,35806,388153,801.59,484.229,6972,15405,1.796,2.62,0.9157,0.3884,0.061,22.21,0.463,4.474,0.0564,0.1659,1.41,9.139,0.992,0.0934,3.985,A-,27.2,C-,11.8,B,346238,1943,1127,72.405,1120.8,-822.2,Landlord Friendly,8.195144836,986,8.479906607,1.710368631,12.86983993
"34.1365496957, -87.8871383639",Marion County,AL,34.1365497,-87.88713836,495,562,740,960,1260,35565,29341,742.29,39.528,150,-185,0.511,4.693,0.8983,0.4035,0.0531,21.19,0.6154,8.687,0.0779,0.2827,1.416,13.2,0.8742,0.0137,6.048,C-,30.57,D+,15.79,C,118035,662,448,47.768,803.4,141.4,Landlord Friendly,8.929134366,146,8.662262763,2.027358462,10.2957661
"34.3669621021, -86.306636969",Marshall County,AL,34.3669621,-86.30663697,565,569,740,990,994,35016,97612,565.84,172.508,1107,1812,1.134,3.044,0.89,0.3929,0.0524,24.59,0.3921,6.298,0.1329,0.1505,1.189,7.449,0.7919,0.005,4.379,B+,31.41,D+,9.586,B+,207455,1164,921,26.384,771.6,-392.4,Landlord Friendly,8.518849112,634,8.565373646,1.779180687,11.49147708
"30.6851516211, -88.1975233535",Mobile County,AL,30.68515162,-88.19752335,738,793,986,1318,1400,36688,414809,1229.44,337.397,-1606,-3401,-0.387,2.534,1.192,0.4116,0.4285,6.683,0.502,5.669,0.1307,0.224,0.5778,5.387,0.8135,0.2026,4.566,B,12.99,A,7.205,A,208510,1170,821,42.509,1047,-123,Landlord Friendly,8.69437086,446,8.615444496,1.810254052,12.93621451
"31.5708340246, -87.3654375115",Monroe County,AL,31.57083402,-87.36543751,560,655,740,1046,1078,36033,19772,1025.67,19.277,-153,-366,-0.774,6.465,0.8073,0.4312,0.0766,24.02,0.8529,10.3,0.0624,1.256,1.004,20.96,0.8324,0.0607,7.78,D,35.24,D+,24.11,D-,137376,771,515,49.709,815.8,44.8,Landlord Friendly,8.759565153,378,8.645410489,2.232806198,9.90538575
"32.2202579876, -86.2076142923",Montgomery County,AL,32.22025799,-86.20761429,716,817,977,1241,1595,36105,228954,784.25,291.94,-592,-2587,-0.259,8.157,1.964,0.4973,0.1005,24.84,0.5625,13.03,0.13,0.6625,6.095,12.01,0.8235,0.2047,10.72,F,38.57,D,19.79,D+,184351,1035,752,37.633,1069.2,34.2,Landlord Friendly,8.784590312,343,8.643543864,2.506831207,12.34243752
"34.453472028, -86.8529215684",Morgan County,AL,34.45347203,-86.85292157,623,651,795,1038,1151,35601,123421,579.34,213.037,808,790,0.655,4.467,0.7017,0.4524,0.111,19.58,0.6762,10.98,0.6334,0.3929,3.549,40.33,0.8159,0.0065,5.732,C,31.87,D+,45.09,F,227501,1277,869,46.951,851.6,-425.4,Landlord Friendly,8.454278081,694,8.559064235,1.984856099,11.72550946
"32.6384656558, -87.2944007854",Perry County,AL,32.63846566,-87.29440079,604,707,799,972,1197,36773,8511,719.66,11.826,-282,-480,-3.313,6.042,1.22,0.4497,0.0821,39.52,0.6168,10.04,0.0859,0.5345,1.976,8.548,0.9739,0.206,7.794,D,50.26,D-,12.24,B-,98561,553,409,35.208,855.8,302.8,Landlord Friendly,8.845920913,244,8.689801056,2.234306252,9.079889943
"33.2808768859, -88.0886925942",Pickens County,AL,33.28087689,-88.08869259,558,562,740,979,994,35466,19123,881.41,21.696,82,-427,0.429,3.825,0.9003,0.398,0.0578,8.737,0.3412,8.721,0.0428,0.3785,1.291,20.15,0.7449,0.0062,5.181,B-,17.84,B+,22.57,D,139231,781,511,52.838,766.6,-14.4,Landlord Friendly,8.790974291,331,8.634940671,1.906129279,9.872461174
"31.8027084904, -85.9409081483",Pike County,AL,31.80270849,-85.94090815,673,676,890,1083,1196,36005,33009,672.09,49.114,274,6,0.83,2.761,0.9001,0.4139,0.0606,15.32,0.7869,8.046,0.031,0.5247,5.899,17.19,0.7477,0.0327,4.136,A-,24.19,C,24.39,D-,173409,973,672,44.792,903.6,-69.4,Landlord Friendly,8.757530921,382,8.625114426,1.737303283,10.41256164
"33.2937873448, -85.4590701568",Randolph County,AL,33.29378734,-85.45907016,560,655,740,1052,1109,36264,21967,580.55,37.838,280,509,1.275,4.886,0.8881,0.4117,0.0537,15.42,0.4163,7.399,0.0923,0.1872,3.075,19.14,0.8029,0.004,6.24,C-,23.33,C+,23.21,D-,164533,923,610,51.311,823.2,-99.8,Landlord Friendly,8.750643438,393,8.619641471,2.052327249,10.00933295
"32.2883800156, -85.1849624464",Russell County,AL,32.28838002,-85.18496245,759,819,945,1276,1610,36804,59183,641.14,92.309,-113,-632,-0.191,2.319,0.9393,0.3875,0.0574,8.075,0.4261,4.765,0.0635,0.1317,3.694,8.495,0.7451,0.0364,3.703,A,13.33,A,13.1,B-,163285,916,629,45.628,1081.8,165.8,Landlord Friendly,8.901574842,180,8.666474894,1.658037582,10.99287408
"33.2642770248, -86.6606484037",Shelby County,AL,33.26427702,-86.6606484,866,942,1075,1376,1494,35124,223024,784.93,284.132,2687,7081,1.205,4.531,1.019,0.3866,0.0917,45.37,0.396,3.029,0.1219,0.1832,1.398,7.418,1.069,0.0015,6.028,C,48.91,D-,10.07,B+,360511,2023,1254,61.324,1150.6,-872.4,Landlord Friendly,8.065995804,1086,8.469430499,2.024721329,12.31622665
"33.7157303222, -86.3145956812",St. Clair County,AL,33.71573032,-86.31459568,866,942,1075,1376,1494,35054,91103,631.9,144.173,1029,2461,1.129,3.524,0.884,0.399,0.055,20.01,0.458,4.541,0.0772,0.1338,2.261,12.68,0.7932,0.0016,4.862,B-,25.09,C,15.87,C,249584,1401,821,70.646,1150.6,-250.4,Landlord Friendly,8.595970221,545,8.592078005,1.85754721,11.42266153
"32.5910175308, -88.1987896089",Sumter County,AL,32.59101753,-88.19878961,679,690,897,1092,1211,35442,12345,903.89,13.658,-108,-495,-0.875,7.445,0.7196,0.4475,0.1241,42.61,1.137,11.67,0.0686,1.362,1.057,12.5,0.8658,0.0732,8.736,D-,55.48,D-,15.86,C,92467,519,344,50.872,913.8,394.8,Landlord Friendly,9.04975365,53,8.70516542,2.330394794,9.442324728
"33.3800616097, -86.1659036872",Talladega County,AL,33.38006161,-86.16590369,504,573,754,1033,1102,36268,82149,736.78,111.497,221,-1448,0.269,2.372,0.9199,0.396,0.0564,19.83,0.6313,7.275,0.0458,0.1929,0.4723,7.025,0.7575,0.0024,3.745,A,27.79,C-,8.45,A-,136979,769,662,16.163,793.2,24.2,Landlord Friendly,8.837243106,259,8.641779698,1.666007264,11.31952274
"32.8624049426, -85.7975022448",Tallapoosa County,AL,32.86240494,-85.79750224,598,600,790,1049,1076,35089,41311,716.52,57.655,-155,-339,-0.375,4.188,1.05,0.4264,0.0698,27.71,0.5214,8.795,0.0482,0.3377,1.874,17.68,0.7669,0.1031,5.735,C,37.08,D,20.77,D,148239,832,553,50.452,822.6,-9.4,Landlord Friendly,8.748721176,396,8.635829197,1.985268215,10.63530241
"33.2895498464, -87.525029952",Tuscaloosa County,AL,33.28954985,-87.52502995,816,822,1018,1277,1368,35457,227036,1321.75,171.769,1112,9739,0.49,6.418,0.8699,0.4078,0.0549,7.459,0.457,9.629,0.0217,0.2574,0.6434,23.93,0.7564,0.0026,7.751,D,17.57,B+,25.59,D-,259875,1458,878,66.059,1060.2,-397.8,Landlord Friendly,8.441534009,705,8.564343917,2.229691767,12.33403481
"33.8033347429, -87.2973573971",Walker County,AL,33.80333474,-87.2973574,560,562,740,1004,1042,35006,65342,791.19,82.587,-290,-1003,-0.444,2.768,0.7943,0.4118,0.148,7.591,0.9051,8.309,0.0881,0.1692,1.339,8.464,0.818,0.0041,4.122,A-,16.89,B+,10.8,B,149880,841,560,50.179,781.6,-59.4,Landlord Friendly,8.718265347,417,8.626908212,1.734836322,11.09145292
